Season,TeamA,TeamB,MarketSpreadTeamA,MarketTotal,MarketMoneylineTeamA,MarketMoneylineTeamB
2026,UMBC,Howard,-1.0,139.5,-120.0,100.0
2026,Texas,NC State,0.0,158.5,-110.0,-110.0
2026,Prairie View,Lehigh,3.5,143.0,140.0,-168.0
2026,Miami OH,SMU,7.0,164.0,245.0,-300.0
2026,Ohio St,TCU,-2.5,146.5,-142.0,120.0
2026,Nebraska,Troy,-13.0,137.5,-1000.0,650.0
2026,Louisville,South Florida,-5.5,165.5,-225.0,185.0
2026,Wisconsin,High Point,-10.0,164.5,-480.0,363.0
2026,Duke,Siena,-29.5,136.0,-50000.0,5000.0
2026,Vanderbilt,McNeese St,-11.5,150.5,-650.0,460.0
2026,Michigan St,N Dakota St,-16.5,143.5,-1900.0,1011.0
2026,Arkansas,Hawaii,-15.0,160.5,-1300.0,800.0
2026,North Carolina,VCU,-2.5,154.0,-140.0,116.0
2026,St Mary's CA,Texas A&M,-3.25,147.5,-161.0,136.0
2026,Illinois,Penn,-24.5,150.5,-10000.0,2000.0
2026,Georgia,St Louis,-3.0,170.0,-155.0,133.0
2026,Gonzaga,Kennesaw,-20.5,154.5,-4000.0,1450.0
2026,Houston,Idaho,-23.5,136.25,-10000.0,2000.0
2026,Kentucky,Santa Clara,-3.5,160.5,-166.0,140.0
2026,Texas Tech,Akron,-7.5,156.5,-315.0,250.0
2026,Arizona,LIU Brooklyn,-31.5,151.5,-100000.0,6000.0
2026,Virginia,Wright St,-18.5,145.5,-2750.0,1206.0
2026,Iowa St,Tennessee St,-25.0,149.5,-11250.0,2350.0
2026,Alabama,Hofstra,-12.5,159.5,-925.0,612.5
2026,Villanova,Utah St,2.0,147.0,115.0,-135.0
2026,Clemson,Iowa,2.0,129.5,115.0,-135.0
2026,St John's,Northern Iowa,-10.5,131.5,-600.0,446.0
2026,UCLA,UCF,-6.0,152.5,-250.0,202.0
2026,Purdue,Queens NC,-25.5,163.5,-13000.0,2500.0
2026,Kansas,Cal Baptist,-14.5,138.0,-1200.0,754.0
2026,Connecticut,Furman,-20.5,137.0,-5000.0,1600.0
2026,Miami FL,Missouri,-2.0,147.5,-130.0,110.0
2026,Michigan,UMBC,,,,
2026,Michigan,Howard,,,,
2026,BYU,Texas,,,,
2026,BYU,NC State,,,,
2026,Tennessee,Miami OH,,,,
2026,Tennessee,SMU,,,,
2026,Florida,Prairie View,,,,
2026,Florida,Lehigh,,,,
